"filename", "language", "JavaScript", "JSON", "CSS", "Properties", "comment", "blank", "total"
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\.env", "Properties", 0, 0, 0, 3, 0, 0, 3
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\package-lock.json", "JSON", 0, 2913, 0, 0, 0, 0, 2913
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\package.json", "JSON", 0, 5, 0, 0, 0, 0, 5
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\App.js", "JavaScript", 1, 0, 0, 0, 0, 1, 2
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\Chat.css", "CSS", 0, 0, 42, 0, 0, 6, 48
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\VideoCall.css", "CSS", 0, 0, -35, 0, 0, -10, -45
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\VideoCallPage.css", "CSS", 0, 0, 5, 0, 0, 0, 5
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\components\Chat.js", "JavaScript", 36, 0, 0, 0, 0, 4, 40
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\components\Sidebar.js", "JavaScript", -4, 0, 0, 0, 0, 0, -4
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\components\Videocall.js", "JavaScript", 36, 0, 0, 0, 0, 10, 46
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\contexts\AuthContext.js", "JavaScript", 25, 0, 0, 0, 0, 6, 31
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\hooks\UseVideoCall.js", "JavaScript", 42, 0, 0, 0, 0, 5, 47
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\index.js", "JavaScript", 3, 0, 0, 0, 0, 2, 5
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\Dashboard.js", "JavaScript", 17, 0, 0, 0, 1, 3, 21
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\Login.js", "JavaScript", 9, 0, 0, 0, 0, 0, 9
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\ManageMeetingsPage.js", "JavaScript", -61, 0, 0, 0, -1, -2, -64
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\RecordingPage.js", "JavaScript", 0, 0, 0, 0, 11, -1, 10
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\VideoCall.js", "JavaScript", -99, 0, 0, 0, 0, -10, -109
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\VideoCallPage.js", "JavaScript", 20, 0, 0, 0, 0, 4, 24
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\config.js", "JavaScript", -5, 0, 0, 0, 0, -1, -6
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\config\config.js", "JavaScript", 12, 0, 0, 0, 0, 1, 13
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\controllers\attendenceController.js", "JavaScript", 20, 0, 0, 0, 0, 8, 28
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\controllers\communicationController.js", "JavaScript", 22, 0, 0, 0, 1, 10, 33
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\controllers\meetings.js", "JavaScript", 59, 0, 0, 0, 6, 17, 82
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\controllers\recordingsController.js", "JavaScript", 145, 0, 0, 0, 3, 38, 186
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\controllers\userController.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\middleware\AuthorizeMeetingAccess.js", "JavaScript", 29, 0, 0, 0, 0, 9, 38
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\models\attendence.js", "JavaScript", 8, 0, 0, 0, 0, 3, 11
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\models\meeting.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\models\recordings.js", "JavaScript", 10, 0, 0, 0, 0, 3, 13
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\models\user.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\package-lock.json", "JSON", 0, 176, 0, 0, 0, 0, 176
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\package.json", "JSON", 0, 6, 0, 0, 0, 0, 6
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\routes\attendenceRoutes.js", "JavaScript", 7, 0, 0, 0, 0, 3, 10
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\routes\communicationRoutes.js", "JavaScript", 5, 0, 0, 0, 0, 2, 7
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\routes\meetingRoutes.js", "JavaScript", 4, 0, 0, 0, 3, 4, 11
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\routes\recordingRoutes.js", "JavaScript", 9, 0, 0, 0, 0, 2, 11
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\scripts\seedUsers.js", "JavaScript", 9, 0, 0, 0, 1, 4, 14
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\server.js", "JavaScript", 15, 0, 0, 0, -1, 3, 17
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\service\callAutomationClient.js", "JavaScript", 6, 0, 0, 0, 0, 3, 9
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\service\communicationService.js", "JavaScript", 11, 0, 0, 0, 0, 3, 14
"Total", "-", 394, 3100, 12, 3, 24, 130, 3663